row.names,geneid,genesymbol
154,ENSG00000272420.1,RP4-740C4.7
155,ENSG00000271921.1,RP4-740C4.9
156,ENSG00000271847.1,RP4-740C4.8
157,ENSG00000178642.5,AL513477.1
158,ENSG00000157916.14,RER1
159,ENSG00000157911.5,PEX10
160,ENSG00000149527.13,PLCH2
161,ENSG00000224387.1,RP3-395M20.2
162,ENSG00000229393.1,RP3-395M20.3
163,ENSG00000157881.9,PANK4
164,ENSG00000197921.5,HES5
165,ENSG00000272449.1,RP3-395M20.12
166,ENSG00000238164.2,RP3-395M20.8
167,ENSG00000157873.13,TNFRSF14
168,ENSG00000225931.3,RP3-395M20.7
169,ENSG00000228037.1,RP3-395M20.9
170,ENSG00000157870.10,FAM213B
171,ENSG00000142606.11,MMEL1
172,ENSG00000237058.1,RP13-436F16.1
173,ENSG00000215912.7,TTC34
174,ENSG00000233234.1,RP11-740P5.2
175,ENSG00000231630.1,RP11-740P5.3
176,ENSG00000169717.5,ACTRT2
177,ENSG00000177133.6,LINC00982
178,ENSG00000142611.12,PRDM16
179,ENSG00000226286.1,RP1-163G9.2
180,ENSG00000272235.1,RP11-22L13.1
181,ENSG00000130762.10,ARHGEF16
182,ENSG00000272088.1,RP11-168F9.2
183,ENSG00000162591.11,MEGF6
184,ENSG00000207776.1,MIR551A
185,ENSG00000238260.1,RP11-46F15.2
186,ENSG00000158109.10,TPRG1L
187,ENSG00000116213.11,WRAP73
188,ENSG00000078900.10,TP73
189,ENSG00000227589.1,RP5-1092A11.5
190,ENSG00000235131.1,RP5-1092A11.2
191,ENSG00000227372.6,TP73-AS1
192,ENSG00000162592.4,CCDC27
193,ENSG00000235169.3,SMIM1
194,ENSG00000130764.5,LRRC47
195,ENSG00000266075.1,RN7SL574P
196,ENSG00000272153.1,RP1-286D6.5
197,ENSG00000116198.8,CEP104
198,ENSG00000169598.11,DFFB
199,ENSG00000198912.6,C1orf174
200,ENSG00000236423.1,RP13-15E13.1
201,ENSG00000233304.1,RP13-614K11.1
202,ENSG00000226374.1,RP13-614K11.2
203,ENSG00000229280.1,RP11-374C13.1
204,ENSG00000235054.1,RP5-1166F10.1
205,ENSG00000227169.2,RP1-37J18.1
206,ENSG00000232596.1,RP1-37J18.2
207,ENSG00000196581.6,AJAP1
208,ENSG00000231510.1,RP11-542C10.1
209,ENSG00000260972.1,RP1-58B11.1
210,ENSG00000264341.1,MIR4417
211,ENSG00000236948.1,RP11-154H17.1
212,ENSG00000216045.2,AL356693.1
213,ENSG00000264101.1,MIR4689
214,ENSG00000131697.13,NPHP4
215,ENSG00000266687.1,AL356261.1
216,ENSG00000069424.10,KCNAB2
217,ENSG00000116254.13,CHD5
218,ENSG00000116251.5,RPL22
219,ENSG00000226944.1,RP1-120G22.11
220,ENSG00000158286.8,RNF207
221,ENSG00000116237.11,ICMT
222,ENSG00000225077.2,LINC00337
223,ENSG00000173673.7,HES3
224,ENSG00000158292.6,GPR153
225,ENSG00000097021.15,ACOT7
226,ENSG00000069812.7,HES2
227,ENSG00000187017.10,ESPN
228,ENSG00000265392.1,MIR4252
229,ENSG00000231868.1,RP1-202O8.2
230,ENSG00000215788.5,TNFRSF25
231,ENSG00000171680.16,PLEKHG5
232,ENSG00000162408.10,NOL9
233,ENSG00000253022.1,RNU6-731P
234,ENSG00000229519.2,RP11-58A11.2
235,ENSG00000173662.15,TAS1R1
236,ENSG00000204859.7,ZBTB48
237,ENSG00000162413.12,KLHL21
238,ENSG00000116273.5,PHF13
239,ENSG00000041988.11,THAP3
240,ENSG00000007923.11,DNAJC11
241,ENSG00000228750.1,RP11-242F24.1
242,ENSG00000239166.1,snoU13
243,ENSG00000237436.1,RP11-312B8.1
244,ENSG00000171735.14,CAMTA1
245,ENSG00000227950.1,RP11-312B8.2
246,ENSG00000237365.1,RP11-334N17.1
247,ENSG00000207056.1,RNU1-8P
248,ENSG00000237402.1,CAMTA1-IT1
249,ENSG00000237728.1,RP3-453P22.2
250,ENSG00000225126.1,RP4-549F15.1
251,ENSG00000270171.1,RP11-338N10.1
252,ENSG00000270035.1,RP11-338N10.2
